Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
08/01/2018 08:30:00 AM,08/01/2018 08:45:00 AM,Manhattan,Central Park,Lasker Pool. On the stairs not far from public entrance to the pool.,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-15950040,ACC,1,false,false,,,false,false,36669
07/31/2018 04:40:00 PM,07/31/2018 04:50:00 PM,Bronx,Magenta Playground,Bronx Park East & Rosewood Avenue,Raccoon,Employee,Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1597270330,ACC,1,false,false,,,false,false,36629
07/31/2018 03:35:00 PM,07/31/2018 03:35:00 PM,Manhattan,Central Park,E 90th ST & 5th Ave,Raccoon,Observed by Ranger,Native,Unhealthy,0.5,Adult,Small Mammals-RVS,,Monitored Animal,1,false,true,,0.5,false,false,
07/31/2018 02:00:00 PM,07/31/2018 02:05:00 PM,Manhattan,Central Park,"At the reservoir, on the running path just west of the north pumphouse",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1594900390,ACC,1,false,false,,,false,false,36590
07/31/2018 11:35:00 AM,07/31/2018 11:39:00 AM,Manhattan,Central Park,E 90th St & 5th Ave,Raccoon,Employee,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,,Monitored Animal,1,false,true,,1.5,false,false,
07/31/2018 11:52:00 AM,07/31/2018 12:40:00 PM,Manhattan,Central Park,Dana Center Playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,1,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/31/2018 02:00:00 PM,07/31/2018 03:30:00 PM,Manhattan,Thomas Jefferson Recreation Center,In Lobby of Rec. Center,Squirrel,Employee,Native,Healthy,0.5,Adult,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/31/2018 10:30:00 AM,07/31/2018 11:20:00 AM,Manhattan,Central Park,E65th between the dairy center and the east drive,raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,4,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
07/31/2018 09:00:00 AM,07/31/2018 09:30:00 AM,Manhattan,Central Park,near bridal path of E90th and 5th ave entrance.,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,4,Adult,Small Mammals-RVS,,Monitored Animal,1,false,false,,,false,false,
07/31/2018 01:00:00 PM,07/31/2018 01:26:00 PM,Manhattan,Central Park,Central park ramble,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,4,Adult,Small Mammals-RVS,1-1-1596705002,ACC,1,false,false,,,false,false,36572
07/31/2018 09:00:00 AM,07/31/2018 12:05:00 AM,Manhattan,Central Park,Found under a tree in the grass near the pedestrian path by E74th walkway off the drive by conservatory water.,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,4,Juvenile,Small Mammals-RVS,1-1-1596705002,ACC,1,false,false,,,false,false,36571
07/31/2018 09:00:00 AM,07/31/2018 11:30:00 AM,Manhattan,Central Park,Found on the side of the pedestrian path near the bathrooms in Columbus circle.,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,4,Juvenile,Small Mammals-RVS,1-1-1596705002,ACC,1,false,false,,,false,false,36570
07/31/2018 10:30:00 AM,07/31/2018 10:35:00 AM,Manhattan,Central Park,Parking lot of tavern on the green near the pedestrian ramp of central park west,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,4,Adult,Small Mammals-RVS,1-11-1596705002,ACC,1,false,false,,,false,false,36569
07/30/2018 12:41:00 PM,07/30/2018 01:00:00 PM,Manhattan,Central Park,79th St and 5th Ave just south of the MET,Raccoons,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-1593846610,ACC,2,false,false,,,false,false,36464/36465
07/30/2018 04:55:00 PM,07/30/2018 05:08:00 PM,Manhattan,Central Park,Summer Stage - backstage,raccoon,Other,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1595449961,ACC,1,false,false,,,false,false,36485
07/29/2018 03:15:00 PM,07/29/2018 03:15:00 PM,Queens,Cunningham Park,Yellow Picnic Area,Red Bat,Employee,Native,Healthy,1.25,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/30/2018 12:50:00 PM,07/30/2018 02:37:00 PM,Manhattan,Central Park,On the Mall - between 72nd street and Bandshell - near staircase closest to 72nd,raccoon,Central,Native,Unhealthy,1.75,Juvenile,Small Mammals-RVS,1-1-1593101630,ACC,1,false,false,,,false,false,36475
07/29/2018 01:00:00 PM,07/30/2018 01:30:00 PM,Brooklyn,McCarren Park,,Red Tailed Hawk,Employee,Native,Healthy,0.5,Juvenile;#Adult,Raptors,,Monitored Animal,3,false,true,,0.5,false,false,
07/30/2018 09:00:00 AM,07/30/2018 10:30:00 AM,Brooklyn,Fort Greene Park,"North East corner of park, near corner of Myrtle and St. Edwards",Cat,Employee,Domestic,Healthy,2,Adult,Domestic,1-1-1596491810,ACC,1,false,false,,,false,false,43984
07/29/2018 03:20:00 PM,07/29/2018 03:30:00 PM,Manhattan,Central Park,"Rumsey Playfield, just south of Summer Stage venue, 69th st and East Drive",Raccoon,Employee,Native,Unhealthy,0.75,Adult,Small Mammals-RVS,1-1-1594035570,ACC,1,false,true,,0.5,false,false,36370
07/29/2018 01:00:00 PM,07/29/2018 03:00:00 PM,Manhattan,Central Park,"Rumsey Playfield, Summer Stage, around trailers",Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
07/23/2018 11:15:00 AM,07/23/2018 12:00:00 PM,Manhattan,Central Park,West 70 Street between the West Drive and Central Park West,Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,1,Infant,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,true,,0.5,false,false,
07/26/2018 12:30:00 PM,07/26/2018 01:00:00 PM,Manhattan,Central Park,Rumsey Playfield,Raccoon,Employee,Native,Injured,2,Adult,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
07/28/2018 07:45:00 AM,07/29/2018 12:27:00 PM,Manhattan,Central Park,"Near the Pioneers Gate, at 110th and 5th Ave",Raccoon,Public,Native,N/A,0.25,Juvenile,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
07/28/2018 08:36:00 PM,07/29/2018 11:30:00 AM,Manhattan,Central Park,SW corner of the Jackie O Reservoir - where the Bridle Path intersects - below the railing - between the ledge and waters edge,raccoon,Public,Native,Healthy,1,Juvenile,Small Mammals-RVS,,Monitored Animal,1,false,true,,0.75,false,false,
07/29/2018 09:48:00 AM,07/29/2018 10:30:00 AM,Manhattan,Central Park,Hallet Nature Sanctuary - 59th street/6th ave,raccoon,Central,Native,Unhealthy,1.75,Adult,Small Mammals-RVS,1-1-1595406852,ACC,1,false,false,,,false,false,36328
07/29/2018 09:06:00 AM,07/29/2018 09:08:00 AM,Manhattan,Central Park,Conservatory Garden - Vanderbilt Gate - 5th ave/104th,raccoon,Employee,Native,Unhealthy,0.25,Juvenile,Small Mammals-RVS,1-1-1593319604,ACC,1,false,false,,,false,false,36298
07/28/2018 01:45:00 PM,07/28/2018 02:20:00 PM,Manhattan,Central Park,The Loeb Boathouse Docks,Raccoon,Other,Native,DOA,1.5,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/28/2018 05:10:00 PM,07/28/2018 05:15:00 PM,Manhattan,Central Park,94th St and Bridle path,raccoon,Central,Native,Unhealthy,0.75,Juvenile,Small Mammals-RVS,1-1-1595729275,ACC,1,false,false,,,false,false,36264
07/28/2018 02:33:00 PM,07/28/2018 03:34:00 PM,Manhattan,Central Park,"Ramble, area known as ""the gill"", along the waterfall, under the bridge",raccoon,Public,Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1-594558242,ACC,1,false,false,,,false,false,36259
07/28/2018 12:30:00 PM,07/28/2018 12:45:00 PM,Queens,Socrates Sculpture Park,"Fence along southern border of park, accessed from Costco Parking Lot",Opossum,Central,Native,Healthy,1.75,Adult,Small Mammals-non RVS,1-1-1594452514,Relocated/Condition Corrected,1,false,false,,,false,true,
07/28/2018 12:12:00 PM,07/28/2018 12:22:00 PM,Manhattan,Central Park,Bridle Path at W 100th street,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1-595449866,ACC,1,false,false,,,false,false,36209
07/28/2018 09:00:00 AM,07/28/2018 09:06:00 AM,Manhattan,Central Park,"61 street entrance to park, on Wayne Walk, under a bench",raccoon,Central,Native,DOA,0,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/28/2018 08:30:00 AM,07/28/2018 10:30:00 AM,Manhattan,Central Park,"West Drive and 74th street, between the Drive and the Lake, behind a bench in the vegetation",raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
07/28/2018 08:30:00 AM,07/28/2018 09:54:00 AM,Manhattan,Central Park,"In Ramble, near Ramble Shed trash cans close to Maintenance area",raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
07/28/2018 08:30:00 AM,07/28/2018 09:22:00 AM,Manhattan,Central Park,"on Bridle Path at 86th street transverse entrance, aka ""Cowgate""",raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
07/27/2018 05:00:00 PM,07/27/2018 05:06:00 AM,Manhattan,Central Park,North Woods between East Drive and Harlem Meer/ In the sewage rocks on the walking path between the stairs and Lasker Rink,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile,Small Mammals-non RVS,,Monitored Animal,1,false,false,,,false,false,
07/27/2018 10:30:00 AM,07/27/2018 12:00:00 PM,Manhattan,Central Park,74th St. and West Drive,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1594820091,ACC,1,false,false,,,false,false,36023
07/27/2018 10:00:00 AM,07/27/2018 10:30:00 AM,Manhattan,Central Park,"Ramble, the oven, north of the Lake",raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-1594820091,ACC,1,false,false,,,false,false,36014
07/27/2018 09:30:00 AM,07/27/2018 10:00:00 AM,Manhattan,Central Park,"Ramble, The Oven, north of the Lake",raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1594820091,ACC,1,false,false,,,false,false,36013
07/27/2018 09:00:00 AM,07/27/2018 09:30:00 AM,Manhattan,Central Park,North Meadow Ball fields,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1594820091,ACC,1,false,false,,,false,false,36012
07/27/2018 08:23:00 AM,07/27/2018 02:34:00 PM,Manhattan,Central Park,E 110th St Playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.75,Juvenile,Small Mammals-RVS,1-1-1594899930,ACC,1,false,false,,0.5,false,false,36061
07/27/2018 12:00:00 AM,07/27/2018 09:00:00 AM,Manhattan,Central Park,Central Park - 110th St Playground at Dana Center,raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Monitored Animal,1,false,true,,0.5,false,false,
07/26/2018 12:45:00 PM,07/26/2018 01:35:00 PM,Manhattan,Central Park,Compost Hill 103rd/East Drive,raccoon,Central,Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
07/26/2018 11:00:00 AM,07/26/2018 11:00:00 AM,Manhattan,Central Park,Dead Road and 72nd St Transverse,Squirrel,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-non RVS,1-1-1594035353,ACC,1,false,false,,,false,false,35900
07/26/2018 10:20:00 AM,07/26/2018 10:20:00 AM,Manhattan,Central Park,Delacorte Theater,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1594035353,ACC,1,false,false,,,false,false,35899
07/26/2018 08:15:00 AM,07/26/2018 09:00:00 AM,Manhattan,Central Park,Ramble,raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
07/25/2018 02:49:00 PM,07/25/2018 03:00:00 PM,Manhattan,Tompkins Square Park,,Red Tailed Hawk,Public,Native,Unhealthy,3,Juvenile,Raptors,1-1-1594035222,Rehabilitator,1,false,false,Animal Medical Center Manhattan,,false,false,
07/20/2018 04:00:00 PM,07/20/2018 04:30:00 PM,Manhattan,Inwood Hill Park,,Mallard duckling,Central,Native,Healthy,0.5,Infant,Birds,,Advised/Educated others,1,false,false,,,false,false,
07/25/2018 01:15:00 PM,07/25/2018 01:33:00 PM,Manhattan,Central Park,In the middle of the driveway behind the Lasker Rink where the parking lot is/ East Dr and E107th,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1592372063,ACC,1,false,false,,,false,false,35796
07/18/2018 11:15:00 AM,07/18/2018 11:20:00 AM,Manhattan,Central Park,Hecksher Ballfields - field #6 - west of Ballfields Cafe - between path and transverse,raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.75,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
07/12/2018 03:00:00 PM,07/12/2018 03:25:00 PM,Manhattan,Central Park,Sheep Meadow,Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,1,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,true,,1,false,false,
07/18/2018 10:18:00 AM,07/18/2018 11:00:00 AM,Manhattan,Central Park,Lasker Rink - parking lot - placed in bucket by CPC,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Infant,Small Mammals-RVS,1-1-1589216055,ACC,1,false,false,,,false,false,34937
07/18/2018 08:21:00 AM,07/18/2018 10:16:00 AM,Manhattan,Central Park,Conservatory Garden - 5th and 106th -  by Italian garden entrance nearest to lawn,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.5,Juvenile,Small Mammals-RVS,1-1-1589216055,ACC,1,false,false,,,false,false,34936
07/18/2018 08:21:00 AM,07/18/2018 09:28:00 AM,Manhattan,Central Park,Grand Army Plaza - 5th ave and 59th - between Moore Statue and 59th street pond along path,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.75,Adult,Small Mammals-RVS,1-1-1589216055,ACC,1,false,false,,,false,false,34935
07/21/2018 11:30:00 AM,07/21/2018 01:00:00 PM,Manhattan,Battery Park City,,crow,Central,Native,Healthy,1,Adult,Birds,,Advised/Educated others,1,false,false,,,false,false,
07/25/2018 09:00:00 AM,07/25/2018 09:15:00 AM,Manhattan,Central Park,110th playground/ Harlem Meer,Raccoon,Public,Native,N/A,0.5,Juvenile,Small Mammals-RVS,1-11-594088217,Unfounded,1,false,false,,,false,false,
07/25/2018 08:35:00 AM,07/25/2018 09:00:00 AM,Manhattan,Central Park,Lasker Pool entrance inside Central Park/  East 110th Street and Lennox Ave,Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1592912090,ACC,1,false,false,,,false,false,43195
07/24/2018 04:40:00 PM,07/24/2018 05:00:00 PM,Queens,Brookville Park,,Raccoon,Central,Native,Healthy,2,Juvenile,Small Mammals-RVS,1-1-1593919394,Relocated/Condition Corrected,1,false,false,,,false,false,
07/24/2018 05:15:00 PM,07/24/2018 05:35:00 PM,Manhattan,Central Park,Behind the Lasker Pool near Huddlestone Arch,Raccoon,Employee,Native,N/A,0.25,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
07/24/2018 05:05:00 PM,07/24/2018 05:18:00 PM,Manhattan,Central Park,Dana Discovery Center,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.35,Juvenile,Small Mammals-RVS,,Monitored Animal,1,false,false,,,false,false,
07/24/2018 01:00:00 PM,07/24/2018 03:00:00 PM,Manhattan,Highbridge Recreation Center,,Blue Jay,Employee,Native,Healthy,1,Juvenile,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/24/2018 12:30:00 PM,07/24/2018 03:15:00 PM,Manhattan,Central Park,Waterfall behind Lasker Pool in the North Woods.,Raccoon,Public,Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
07/24/2018 02:31:00 PM,07/24/2018 02:31:00 PM,Manhattan,Central Park,,Red-tailed Hawk,"Conservancies/""Friends of"" Groups",Native,Healthy,1,Juvenile,Small Mammals-RVS;#Raptors,,Unfounded,,false,false,,,false,false,
07/24/2018 01:12:00 PM,07/24/2018 01:30:00 PM,Manhattan,Central Park,North Meadow Baseball Field,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1591910384,ACC,1,false,false,,,false,false,35692
07/24/2018 01:30:00 PM,07/24/2018 02:30:00 PM,Manhattan,Central Park,In Harlem Meer,Raccoon,Observed by Ranger,Native,DOA,1,Adult,Small Mammals-RVS,n/a,Relocated/Condition Corrected,1,false,false,,,false,false,
07/24/2018 09:00:00 AM,07/24/2018 09:15:00 AM,Manhattan,Central Park,Dana Discovery Center (110th 5th Ave).,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-593662489,ACC,1,false,false,,,false,false,35649
07/24/2018 08:30:00 AM,07/24/2018 09:57:00 AM,Manhattan,Central Park,At the Conservatory Garden at East 102nd and 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1590959610,ACC,1,false,false,,,false,false,35650
07/20/2018 02:30:00 PM,07/20/2018 03:30:00 PM,Manhattan,Riverside Park,,Mallard duck,Public,Native,Injured,0.5,Adult,Birds,,Unfounded,1,false,false,,0.5,false,false,
07/17/2018 06:00:00 PM,07/23/2018 11:13:00 AM,Staten Island,Ocean Breeze Track & Field Athletic Complex,,Herring gull,Employee,Native,Injured,0.25,Adult,Birds,,Monitored Animal,,false,false,,,false,false,
07/23/2018 02:50:00 PM,07/23/2018 03:00:00 PM,Manhattan,Central Park,West 100th off the West Drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-1593319220,ACC,1,false,false,,,false,false,35592
07/17/2018 11:40:00 AM,07/23/2018 11:45:00 AM,Manhattan,Central Park,"70th st, between West Drive and the bridle path",Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,0.5,Infant,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,true,,0.5,false,false,
07/23/2018 09:25:00 AM,07/23/2018 09:45:00 AM,Manhattan,Central Park,Near the Heckscher Baseball Field.Central Park West and West 63rd Street,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1592534182,ACC,1,false,false,,,false,false,35529
07/23/2018 08:30:00 AM,07/23/2018 09:00:00 AM,Manhattan,Central Park,Conservatory Gardens East 102nd near 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,3,Juvenile,Small Mammals-RVS,1-1-1592534181,ACC,1,false,false,,,false,false,35528
07/22/2018 02:30:00 PM,07/22/2018 02:44:00 PM,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,,Double crested cormorant,Employee,Native,Unhealthy,1.75,Juvenile,Birds,1-1-1590964411,ACC,1,true,false,,,false,false,35484
07/22/2018 02:15:00 PM,07/22/2018 03:00:00 PM,Manhattan,Tompkins Square Park,,Red-tailed hawk,Central,Native,Healthy,0.5,Juvenile,Raptors,,Monitored Animal,,false,true,,0.5,false,false,
07/21/2018 02:00:00 PM,07/21/2018 02:50:00 PM,Manhattan,Central Park,Conservatory Garden,Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,0.5,Adult,Small Mammals-RVS,,Monitored Animal,1,false,true,,0.5,false,false,
07/21/2018 04:30:00 PM,07/21/2018 04:45:00 PM,Manhattan,Central Park,Huddlestone Arch,Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,1.25,Juvenile,Small Mammals-non RVS,1-1-1588253244,Monitored Animal,2,false,true,,0.5,false,false,
07/21/2018 02:15:00 PM,07/21/2018 02:15:00 PM,Manhattan,Central Park,East 110th Street Playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1588253243,ACC,1,false,false,,,true,false,35372
07/21/2018 09:00:00 AM,07/21/2018 09:10:00 AM,Manhattan,Central Park,Dalehead Arch at the West Drive of Central Park and W 63rd St,Raccoon,Central,Native,DOA,2.5,Juvenile,Small Mammals-RVS,1-1-1591237359,Submitted for DEC Testing,1,false,false,,,false,false,
07/21/2018 09:15:00 AM,07/21/2018 09:15:00 AM,Manhattan,Central Park,Central Park East Drive at 106th St,Raccoon,Observed by Ranger,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1591297971,ACC,1,false,false,,,false,false,35291
07/20/2018 05:51:00 PM,07/21/2018 03:45:00 PM,Queens,Alley Pond Park,,Red-Eared Slider,Central,Domestic,N/A,0.5,Adult,Marine Reptiles,111591900350,Unfounded,,false,false,,,false,false,
07/17/2018 06:15:00 PM,07/21/2018 02:43:00 PM,Staten Island,Ocean Breeze Track & Field Athletic Complex,,Herring Gull,Employee,Native,Injured,0.25,Adult,Birds,,Monitored Animal,1,false,true,,0.25,false,false,
07/20/2018 02:00:00 PM,07/20/2018 02:00:00 PM,Manhattan,Central Park,,Opossum,Employee,Native,DOA,0.3,Adult,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/20/2018 02:00:00 PM,07/20/2018 02:00:00 PM,Manhattan,Central Park,floating in the water of the Loch in the North Woods,Raccoon,Employee,Native,DOA,0.3,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/20/2018 02:00:00 PM,07/20/2018 02:45:00 PM,Manhattan,Central Park,west side of the 100th pond,Raccoon,Employee,Native,Healthy,1,Juvenile,Small Mammals-RVS,,Monitored Animal,1,false,true,,0.4,false,false,
07/19/2018 10:15:00 AM,07/19/2018 12:25:00 PM,Queens,Alley Pond Park,,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.25,Juvenile,Small Mammals-RVS,1-1-1588253180,Unfounded,1,false,false,,,false,false,
07/18/2018 08:35:00 PM,07/19/2018 09:35:00 AM,Queens,Alley Pond Park,,Chicken,Central,Domestic,N/A,0.25,Adult,Domestic,1-1-1591518774,Unfounded,1,false,false,,,false,false,
07/18/2018 06:00:00 PM,07/19/2018 10:00:00 AM,Manhattan,Central Park,South Gate (Pump) House by the Reservoir by 86st. and Transverse,Raccoon,Public,Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1590496248,ACC,1,false,false,,,false,false,35083
07/16/2018 12:00:00 PM,07/19/2018 01:00:00 PM,Manhattan,Central Park,East 110th St Playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,0.75,Infant,Small Mammals-RVS,,Unfounded,2,false,true,,2,false,false,
07/19/2018 09:00:00 AM,07/19/2018 10:00:00 AM,Manhattan,Central Park,CP 79th St Yard,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.75,Adult,Small Mammals-RVS,1-1-1590496247,ACC,1,false,false,,,false,false,35069
07/19/2018 12:00:00 PM,07/19/2018 12:30:00 AM,Manhattan,Central Park,Walking path to Delocorte Theater,Raccoon,Employee,Native,Injured,1.5,Juvenile,Small Mammals-RVS,1-11-590496249,ACC,1,false,false,,,false,false,35104
07/18/2018 04:30:00 PM,07/18/2018 04:45:00 PM,Bronx,Van Cortlandt Park,,Squirrels,Central,Native,N/A,0.25,Juvenile,Small Mammals-RVS,,Unfounded,,false,false,,,false,false,
07/17/2018 06:15:00 PM,07/19/2018 12:08:00 PM,Staten Island,Ocean Breeze Track & Field Athletic Complex,,Herring Gull,Employee,Native,Injured,0.25,Adult,Birds,,Monitored Animal,1,false,true,,0.25,false,false,
07/18/2018 12:40:00 PM,07/18/2018 01:00:00 PM,Manhattan,West Harlem Piers,125 street and West Harlem Piers Park,Canada Goose,Central,Native,Unhealthy,1.5,Adult,Birds,1-1-1590963990,Rehabilitator,1,false,false,"Wild Bird Fund, Manhattan",,false,false,
07/15/2018 01:15:00 PM,07/15/2018 01:46:00 PM,Queens,Astoria Park,,Red Tailed Hawk,Central,Native,N/A,1,Juvenile,Raptors,1-11-587739991,Unfounded,,false,false,,,false,false,
07/17/2018 06:15:00 PM,07/18/2018 01:00:00 PM,Staten Island,Ocean Breeze Track & Field Athletic Complex,,Herring Gull,Employee,Native,Injured,0.25,Adult,Birds,N/A,Monitored Animal,1,true,true,,0.25,false,false,
07/18/2018 11:45:00 AM,07/18/2018 01:00:00 PM,Staten Island,Ocean Breeze Track & Field Athletic Complex,,Canada Goose,Employee,Native,Injured,1.25,Adult,Birds,1-1-1590963990,ACC,1,true,false,,,false,false,34955
07/18/2018 09:30:00 AM,07/18/2018 10:00:00 AM,Bronx,Haffen Park,,Raccoon,Central,Native,Healthy,1.25,Juvenile,Small Mammals-RVS,1-1-1589094020,Relocated/Condition Corrected,1,false,false,,,false,false,
07/15/2018 07:00:00 PM,07/15/2018 07:00:00 PM,Bronx,Van Cortlandt Park,,Mallard Ducklings,Public,Native,Healthy,0.5,Juvenile,Birds,,Relocated/Condition Corrected,5,false,false,,,false,false,
07/17/2018 04:00:00 PM,07/17/2018 04:10:00 PM,Manhattan,Central Park,Central Park South and Grand Army Plaza,Raccoon,Employee,Native,DOA,1,Adult,Small Mammals-RVS,1-11-590417923,Submitted for DEC Testing,1,false,false,,,false,false,
07/17/2018 11:00:00 AM,07/17/2018 11:30:00 AM,Brooklyn,Mellet Playground,,Eastern Gray Squirrel,Central,Domestic,DOA,1,Adult,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/16/2018 01:00:00 PM,07/16/2018 01:10:00 PM,Manhattan,Central Park,Playground by Dana Center,Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,1,Adult,Small Mammals-RVS,,Advised/Educated others,1,false,true,,1,false,false,
07/16/2018 03:00:00 PM,07/16/2018 03:10:00 PM,Manhattan,Central Park,Huddlestone arch,Raccoon,Employee,Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-11-587740052,ACC,1,false,false,,,false,false,34682
07/16/2018 12:00:00 PM,07/16/2018 12:10:00 PM,Manhattan,Central Park,Hecksher Playground,Raccoon,Employee,Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-11-587740051,ACC,1,false,false,,,false,false,34681
07/16/2018 11:00:00 AM,07/16/2018 11:00:00 AM,Manhattan,Central Park,103st and 5th ave,Raccoon,Employee,Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-11-587740050,ACC,1,false,false,,,false,false,34680
